team,number,name
東京ヤクルトスワローズ,32,松本　直樹
東京ヤクルトスワローズ,45,嶋　基宏
東京ヤクルトスワローズ,52,中村　悠平
東京ヤクルトスワローズ,57,古賀　優大
東京ヤクルトスワローズ,59,大村　孟
東京ヤクルトスワローズ,63,井野　卓
東京ヤクルトスワローズ,00,奥村　展征
東京ヤクルトスワローズ,0,藤井　亮太
東京ヤクルトスワローズ,1,山田　哲人
東京ヤクルトスワローズ,2,エスコバー
東京ヤクルトスワローズ,3,西浦　直亨
東京ヤクルトスワローズ,5,川端　慎吾
東京ヤクルトスワローズ,10,荒木　貴裕
東京ヤクルトスワローズ,36,廣岡　大志
東京ヤクルトスワローズ,39,宮本　丈
東京ヤクルトスワローズ,46,太田　賢吾
東京ヤクルトスワローズ,55,村上　宗隆
東京ヤクルトスワローズ,58,長岡　秀樹
東京ヤクルトスワローズ,60,武岡　龍世
東京ヤクルトスワローズ,66,吉田　大成
東京ヤクルトスワローズ,8,中山　翔太
東京ヤクルトスワローズ,9,塩見　泰隆
東京ヤクルトスワローズ,23,青木　宣親
東京ヤクルトスワローズ,31,山崎　晃大朗
東京ヤクルトスワローズ,41,雄平
東京ヤクルトスワローズ,42,坂口　智隆
東京ヤクルトスワローズ,49,渡邉　大樹
東京ヤクルトスワローズ,50,上田　剛史
東京ヤクルトスワローズ,51,濱田　太貴
東京ヤクルトスワローズ,65,田代　将太郎
東京ヤクルトスワローズ,119,ジュリアス
東京ヤクルトスワローズ,118,内山　太嗣
東京ヤクルトスワローズ,117,松本　友
埼玉西部ライオンズ,11,今井　達也
埼玉西部ライオンズ,12,渡邉　勇太朗
埼玉西部ライオンズ,13,髙橋　光成
埼玉西部ライオンズ,14,増田　達至
埼玉西部ライオンズ,15,宮川　哲
埼玉西部ライオンズ,16,松坂　大輔
埼玉西部ライオンズ,17,松本　航
埼玉西部ライオンズ,19,齊藤　大将
埼玉西部ライオンズ,20,浜屋　将太
埼玉西部ライオンズ,21,十亀　剣
埼玉西部ライオンズ,23,野田　昇吾
埼玉西部ライオンズ,25,平井　克典
埼玉西部ライオンズ,26,粟津　凱士
埼玉西部ライオンズ,27,内海　哲也
埼玉西部ライオンズ,28,森脇　亮介
埼玉西部ライオンズ,29,小川　龍也
埼玉西部ライオンズ,30,榎田　大樹
埼玉西部ライオンズ,33,ギャレット
埼玉西部ライオンズ,34,佐野　泰雄
埼玉西部ライオンズ,36,伊藤　翔
埼玉西部ライオンズ,40,田村　伊知郎
埼玉西部ライオンズ,41,井上　広輝
埼玉西部ライオンズ,44,與座　海人
埼玉西部ライオンズ,45,本田　圭佑
埼玉西部ライオンズ,47,松岡　洸希
埼玉西部ライオンズ,48,武隈　祥太
埼玉西部ライオンズ,49,ノリン
埼玉西部ライオンズ,50,中塚　駿太
埼玉西部ライオンズ,54,ニール
埼玉西部ライオンズ,57,國場　翼
埼玉西部ライオンズ,61,平良　海馬
埼玉西部ライオンズ,64,上間　永遠
埼玉西部ライオンズ,66,相内　誠
埼玉西部ライオンズ,67,藤田　航生
埼玉西部ライオンズ,2,岡田　雅利
埼玉西部ライオンズ,10,森　友哉
埼玉西部ライオンズ,37,柘植　世那
埼玉西部ライオンズ,38,牧野　翔矢
埼玉西部ライオンズ,62,駒月　仁人
埼玉西部ライオンズ,78,齊藤　誠人
埼玉西部ライオンズ,0,水口　大地
埼玉西部ライオンズ,3,山川　穂高
埼玉西部ライオンズ,4,山野辺　翔
埼玉西部ライオンズ,5,外崎　修汰
埼玉西部ライオンズ,6,源田　壮亮
埼玉西部ライオンズ,31,佐藤　龍世
埼玉西部ライオンズ,32,永江　恭平
埼玉西部ライオンズ,39,呉　念庭
埼玉西部ライオンズ,52,山田　遥楓
埼玉西部ライオンズ,56,川野　涼多
埼玉西部ライオンズ,59,森越　祐人
埼玉西部ライオンズ,60,中村　剛也
埼玉西部ライオンズ,63,綱島　龍生
埼玉西部ライオンズ,99,メヒア
埼玉西部ライオンズ,1,栗山　巧
埼玉西部ライオンズ,7,金子　侑司
埼玉西部ライオンズ,9,木村　文紀
埼玉西部ライオンズ,22,スパンジェンバーグ
埼玉西部ライオンズ,46,鈴木　将平
埼玉西部ライオンズ,51,西川　愛也
埼玉西部ライオンズ,53,愛斗
埼玉西部ライオンズ,58,熊代　聖人
埼玉西部ライオンズ,65,戸川　大輔
埼玉西部ライオンズ,68,岸　潤一郎
埼玉西部ライオンズ,72,川越　誠司
埼玉西部ライオンズ,73,高木　渉
埼玉西部ライオンズ,120,出井　敏博
埼玉西部ライオンズ,123,髙橋　朋己
埼玉西部ライオンズ,125,東野　葵
埼玉西部ライオンズ,126,大窪　士夢
埼玉西部ライオンズ,127,中熊　大智
福岡ソフトバンクホークス,2,Ｃ．スチュワート・ジュニア
福岡ソフトバンクホークス,10,大竹　耕太郎
福岡ソフトバンクホークス,11,津森　宥紀
福岡ソフトバンクホークス,13,二保　旭
福岡ソフトバンクホークス,14,加治屋　蓮
福岡ソフトバンクホークス,16,東浜　巨
福岡ソフトバンクホークス,17,岩嵜　翔
福岡ソフトバンクホークス,18,武田　翔太
福岡ソフトバンクホークス,20,甲斐野　央
福岡ソフトバンクホークス,21,和田　毅
福岡ソフトバンクホークス,25,田中　正義
福岡ソフトバンクホークス,26,吉住　晴斗
福岡ソフトバンクホークス,28,高橋　礼
福岡ソフトバンクホークス,29,石川　柊太
福岡ソフトバンクホークス,34,椎野　新
福岡ソフトバンクホークス,35,モイネロ
福岡ソフトバンクホークス,37,ムーア
福岡ソフトバンクホークス,38,森　唯斗
福岡ソフトバンクホークス,39,尾形　崇斗
福岡ソフトバンクホークス,40,杉山　一樹
福岡ソフトバンクホークス,41,千賀　滉大
福岡ソフトバンクホークス,42,松田　遼馬
福岡ソフトバンクホークス,44,バンデンハーク
福岡ソフトバンクホークス,47,髙橋　純平
福岡ソフトバンクホークス,49,古谷　優人
福岡ソフトバンクホークス,50,板東　湧梧
福岡ソフトバンクホークス,53,泉　圭輔
福岡ソフトバンクホークス,56,田浦　文丸
福岡ソフトバンクホークス,57,嘉弥真　新也
福岡ソフトバンクホークス,58,サファテ
福岡ソフトバンクホークス,61,奥村　政稔
福岡ソフトバンクホークス,63,川原　弘之
福岡ソフトバンクホークス,66,松本　裕樹
福岡ソフトバンクホークス,67,笠谷　俊介
福岡ソフトバンクホークス,12,髙谷　裕亮
福岡ソフトバンクホークス,19,甲斐　拓也
福岡ソフトバンクホークス,31,栗原　陵矢
福岡ソフトバンクホークス,45,谷川原　健太
福岡ソフトバンクホークス,62,海野　隆司
福岡ソフトバンクホークス,65,九鬼　隆平
福岡ソフトバンクホークス,00,川瀬　晃
福岡ソフトバンクホークス,0,髙田　知季
福岡ソフトバンクホークス,1,内川　聖一
福岡ソフトバンクホークス,5,松田　宣浩
福岡ソフトバンクホークス,6,今宮　健太
福岡ソフトバンクホークス,8,明石　健志
福岡ソフトバンクホークス,22,西田　哲朗
福岡ソフトバンクホークス,23,周東　佑京
福岡ソフトバンクホークス,27,グラシアル
福岡ソフトバンクホークス,33,増田　珠
福岡ソフトバンクホークス,36,牧原　大成
福岡ソフトバンクホークス,52,リチャード
福岡ソフトバンクホークス,55,野村　大樹
福岡ソフトバンクホークス,68,三森　大貴
福岡ソフトバンクホークス,69,小林　珠維
福岡ソフトバンクホークス,99,川島　慶三
福岡ソフトバンクホークス,4,バレンティン
福岡ソフトバンクホークス,7,中村　晃
福岡ソフトバンクホークス,9,柳田　悠岐
福岡ソフトバンクホークス,24,長谷川　勇也
福岡ソフトバンクホークス,30,佐藤　直樹
福岡ソフトバンクホークス,32,柳町　達
福岡ソフトバンクホークス,51,上林　誠知
福岡ソフトバンクホークス,54,デスパイネ
福岡ソフトバンクホークス,59,水谷　瞬
福岡ソフトバンクホークス,60,釜元　豪
福岡ソフトバンクホークス,64,真砂　勇介
福岡ソフトバンクホークス,122,大関　友久
福岡ソフトバンクホークス,123,小澤　怜史
福岡ソフトバンクホークス,129,野澤　佑斗
福岡ソフトバンクホークス,133,岡本　直也
福岡ソフトバンクホークス,137,渡辺　健史
福岡ソフトバンクホークス,138,重田　倫明
福岡ソフトバンクホークス,140,渡邉　雄大
福岡ソフトバンクホークス,143,村上　舜
福岡ソフトバンクホークス,121,石塚　綜一郎
福岡ソフトバンクホークス,132,渡邉　陸
福岡ソフトバンクホークス,144,堀内　汰門
福岡ソフトバンクホークス,124,古澤　勝吾
福岡ソフトバンクホークス,126,黒瀬　健太
福岡ソフトバンクホークス,128,伊藤　大将
福岡ソフトバンクホークス,130,勝連　大稀
福岡ソフトバンクホークス,136,荒木　翔太
福岡ソフトバンクホークス,125,大本　将吾
福岡ソフトバンクホークス,131,舟越　秀虎
福岡ソフトバンクホークス,135,田城　飛翔
福岡ソフトバンクホークス,139,日暮　矢麻人
福岡ソフトバンクホークス,141,清水　陸哉
福岡ソフトバンクホークス,142,中村　宜聖
東北楽天ゴールデンイーグルス,1,松井　裕樹
東北楽天ゴールデンイーグルス,11,岸　孝之
東北楽天ゴールデンイーグルス,12,近藤　弘樹
東北楽天ゴールデンイーグルス,13,森原　康平
東北楽天ゴールデンイーグルス,14,則本　昂大
東北楽天ゴールデンイーグルス,15,Ｊ．Ｔ．シャギワ
東北楽天ゴールデンイーグルス,16,涌井　秀章
東北楽天ゴールデンイーグルス,17,塩見　貴洋
東北楽天ゴールデンイーグルス,19,藤平　尚真
東北楽天ゴールデンイーグルス,20,安樂　智大
東北楽天ゴールデンイーグルス,21,釜田　佳直
東北楽天ゴールデンイーグルス,22,牧田　和久
東北楽天ゴールデンイーグルス,23,弓削　隼人
東北楽天ゴールデンイーグルス,28,酒居　知史
東北楽天ゴールデンイーグルス,31,福井　優也
東北楽天ゴールデンイーグルス,32,ブセニッツ
東北楽天ゴールデンイーグルス,39,引地　秀一郎
東北楽天ゴールデンイーグルス,41,青山　浩二
東北楽天ゴールデンイーグルス,43,宋　家豪
東北楽天ゴールデンイーグルス,45,菅原　秀
東北楽天ゴールデンイーグルス,47,渡邊　佑樹
東北楽天ゴールデンイーグルス,49,福森　耀真
東北楽天ゴールデンイーグルス,52,津留﨑　大成
東北楽天ゴールデンイーグルス,53,高梨　雄平
東北楽天ゴールデンイーグルス,56,鈴木　翔天
東北楽天ゴールデンイーグルス,57,瀧中　瞭太
東北楽天ゴールデンイーグルス,58,辛島　航
東北楽天ゴールデンイーグルス,59,熊原　健人
東北楽天ゴールデンイーグルス,60,石橋　良太
